Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;20001;Intermed Pre-Construction Mgmt;202420;Spring 2024;004;69697;Chen, Yunfeng;50.0%;5.6%;2.8%;;16.7%;5.6%;11.1%;2.8%;;1.4%;;;;;1.4%;;;;;;;;2.8%;
;;25000;Intermediate Const Mgmt;202420;Spring 2024;004;11268;Kang, Kyubyung;6.5%;10.4%;3.9%;;26.0%;16.9%;20.8%;3.9%;5.2%;1.3%;1.3%;;2.6%;;1.3%;;;;;;;;;
;;26000;Intro Modeling For BIM;202420;Spring 2024;002;68920;George, Sarah J.;23.1%;;53.8%;;;7.7%;7.7%;;;7.7%;;;;;;;;;;;;;;
;;30001;Advanced Pre-Construction Mgmt;202420;Spring 2024;004;69701;Jenkins, James L.;59.0%;23.1%;1.3%;;6.4%;;9.0%;;;;;;;;1.3%;;;;;;;;;
;;35000;Advanced Const Mgmt;202420;Spring 2024;004;11286;Allison, Christopher S.;31.3%;26.0%;3.1%;;19.8%;6.3%;10.4%;1.0%;;;1.0%;;;;;;;;;;;;1.0%;
;;36000;Appl Of Const Doc I;202420;Spring 2024;001;68928;Cory, Clark A.;43.8%;;6.3%;;16.7%;;6.3%;6.3%;2.1%;;;;;;8.3%;4.2%;;;;;;;6.3%;
;;;;;;002;68929;Cory, Clark A.;39.5%;;5.3%;;26.3%;2.6%;15.8%;;5.3%;;;;;;5.3%;;;;;;;;;
;;36200;Construction Competition;202420;Spring 2024;001;29881;Manuel, Joseph R.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;37000;Heavy Civil Construction Mgmt;202420;Spring 2024;001;10309;Guan, Shanyue;50.0%;22.2%;16.7%;;;5.6%;5.6%;;;;;;;;;;;;;;;;;
;;37300;Healthcare Construction Mgmt;202420;Spring 2024;001;10308;Benhart, Bradley L.;73.3%;6.7%;13.3%;;;;6.7%;;;;;;;;;;;;;;;;;
;;37500;Mech And Elec Constr Mgmt II;202420;Spring 2024;001;10321;Allison, Christopher S.;35.7%;21.4%;42.9%;;;;;;;;;;;;;;;;;;;;;
;;37700;Residential Const Design-Build;202420;Spring 2024;001;10322;Manuel, Joseph R.;54.5%;;22.7%;;4.5%;9.1%;;;9.1%;;;;;;;;;;;;;;;
;;39000;Construction Work Exp I;202420;Spring 2024;001;16246;Habben, Steven G.;;22.4%;66.3%;;;4.1%;3.1%;;1.0%;;;;;;;;;;;;;;3.1%;
;;40000;Construction Capstone I;202420;Spring 2024;001;11196;Benhart, Bradley L.;60.5%;15.1%;3.5%;;8.1%;3.5%;8.1%;1.2%;;;;;;;;;;;;;;;;
;;45000;Construction Capstone II;202420;Spring 2024;001;22528;Zimpfer, Mark D.;87.6%;3.1%;;;7.2%;;2.1%;;;;;;;;;;;;;;;;;
;;46000;Bldg Info Mel Comrcl Constr;202420;Spring 2024;003;68940;Cory, Clark A.;65.3%;;26.5%;;4.1%;;4.1%;;;;;;;;;;;;;;;;;
;;49000;Construction Work Exp II;202420;Spring 2024;001;16254;Habben, Steven G.;;30.1%;44.7%;;19.4%;;1.0%;;;3.9%;;;;;;;;;;;;;1.0%;
;;51000;Env Sust Const Design & Devel;202420;Spring 2024;001;14895;Chang, Soowon;52.0%;8.0%;;;;4.0%;32.0%;;;;;;4.0%;;;;;;;;;;;
;;55000;Risk Mgmt In Construction;202420;Spring 2024;001;29003;Elwakil, Emad;;7.1%;85.7%;;;;;;;7.1%;;;;;;;;;;;;;;
CNIT;CNIT-Computer & Info Tech;10500;Intro To C Program;202420;Spring 2024;001;13147;Salem, Tawfiq M.;22.9%;10.4%;1.0%;;18.8%;7.3%;14.6%;3.1%;5.2%;8.3%;2.1%;2.1%;;;2.1%;;;;;;;;2.1%;
;;13600;PC Tech & Applications;202420;Spring 2024;Y01;57718;Boowuo, Henrietta;42.9%;11.6%;;;11.6%;5.0%;12.2%;2.6%;1.0%;4.6%;1.0%;0.3%;1.0%;;1.0%;;;;;;;;5.3%;
;;15501;Intro To Software Dev Concepts;202420;Spring 2024;001;11701;Salem, Tawfiq M.;22.6%;17.7%;0.9%;;13.7%;8.0%;17.7%;4.0%;1.8%;5.3%;1.3%;;2.2%;;4.0%;;;;;;;;0.9%;
;;17500;Visual Programming;202420;Spring 2024;002;13184;Esmaeili, Ahmad;14.6%;24.4%;9.8%;;12.2%;9.8%;14.6%;4.9%;2.4%;;;;2.4%;;;;;;;;;;4.9%;
;;17600;Info Tech Architecture;202420;Spring 2024;043;10942;Hiday, Lawrence A.;43.3%;;;;34.7%;;;7.3%;;;4.7%;;;;7.3%;;;;;;;;2.7%;
;;;;;;044;10944;Hiday, Lawrence A.;34.7%;;;;25.7%;;;20.1%;;;5.6%;;;;9.7%;;;;;;;;4.2%;
;;18000;Intro To Systems Devel;202420;Spring 2024;008;12437;Ledbetter, William C.;24.1%;29.9%;12.6%;;8.0%;8.0%;10.3%;;;;;;1.1%;;2.3%;;;;;;;;3.4%;
;;18200;System & Org Security;202420;Spring 2024;001;15404;Josekutty Thomas, Paul;53.4%;;;;25.9%;;;6.9%;;;;;;;3.4%;;;;;;;;10.3%;
;;24200;System Administration;202420;Spring 2024;001;34380;Deadman, Robert C.;13.0%;;;;47.8%;;;30.4%;;;1.9%;;;;3.7%;;;;;;;;3.1%;
;;25501;Obj-Oriented Prog Introduction;202420;Spring 2024;001;11728;Smith, Eunsun C.;29.7%;21.6%;28.1%;;3.2%;4.3%;4.9%;0.5%;;1.6%;;0.5%;0.5%;;3.2%;;;;;;;;1.6%;
;;27000;Cybersecurity Fundamentals I;202420;Spring 2024;010;12439;Hands, Nicole M.;29.9%;;;;41.4%;;;12.6%;;;5.7%;;;;6.9%;;;;;;;;3.4%;
;;;;;;022;10394;Hands, Nicole M.;39.8%;;;;39.8%;;;13.9%;;;2.8%;;;;0.9%;;;;;;;;2.8%;
;;27100;Cybersecurity Fundamentals II;202420;Spring 2024;005;15460;Bhatt, Smriti;69.4%;;;;24.2%;;;3.2%;;;;;;;2.4%;;;;;;;;0.8%;
;;27200;Database Fundamentals;202420;Spring 2024;001;13217;Vhaduri, Sudip;25.3%;20.3%;11.0%;;9.3%;2.7%;17.6%;2.7%;4.9%;1.6%;0.5%;;0.5%;;1.6%;;;;;;;;1.6%;
;;28000;Syst Analysis & Design;202420;Spring 2024;002;69007;Magana Deleon, Alejandra J.;17.5%;15.8%;15.8%;;17.5%;7.0%;14.0%;1.8%;5.3%;3.5%;;;;;1.8%;;;;;;;;;
;;31500;Systems Programming;202420;Spring 2024;002;57722;Min, Byung-Cheol;10.5%;11.6%;1.1%;;22.1%;7.4%;8.4%;16.8%;4.2%;8.4%;3.2%;1.1%;1.1%;;2.1%;;;;;;;;2.1%;
;;;Systems Programming-Honors;202420;Spring 2024;002;57722;Min, Byung-Cheol;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;32000;Pol, Reg & Global Info Tech;202420;Spring 2024;001;11647;Ledbetter, William C.;65.2%;;;;27.5%;;;4.3%;;;1.4%;;;;;;;;;;;;1.4%;
;;32200;Research Methodology & Design;202420;Spring 2024;003;20056;Ledbetter, William C.;50.9%;;3.5%;;21.1%;;14.0%;;;;;;;;10.5%;;;;;;;;;
;;32300;Basic Cyberforensics;202420;Spring 2024;001;10353;Karabiyik, Umit;3.7%;33.3%;7.4%;;14.8%;7.4%;25.9%;;;7.4%;;;;;;;;;;;;;;
;;32500;OO Application Development;202420;Spring 2024;003;15270;Matson, Eric T.;50.0%;;;;15.6%;;;15.6%;;;9.4%;;;;9.4%;;;;;;;;;
;;34220;Network Administration;202420;Spring 2024;001;12586;Hiday, Lawrence A.;19.0%;1.6%;;;37.6%;10.1%;7.9%;13.8%;1.1%;5.8%;2.6%;;;;0.5%;;;;;;;;;
;;34400;Network Engr Fundamentals;202420;Spring 2024;001;13809;Deadman, Robert C.;15.5%;;;;56.9%;;;21.6%;;0.9%;1.7%;;;;1.7%;0.9%;;;;;;;0.9%;
;;34500;Internet Desgn&Implem;202420;Spring 2024;001;41361;Deadman, Robert C.;44.4%;;;;44.4%;;;5.6%;;;;;;;;;;;;;;;5.6%;
;;34600;Wireless Networks;202420;Spring 2024;001;17034;Smith, Anthony H.;20.7%;17.2%;3.4%;;44.8%;;;10.3%;;;;;;;3.4%;;;;;;;;;
;;37000;Introduction To Cryptography;202420;Spring 2024;001;17859;Sun, Wenhai;31.7%;;;;55.0%;;;11.7%;;;;;;;1.7%;;;;;;;;;
;;37100;Cyberlaw And Ethics;202420;Spring 2024;001;10397;Ringenberg, Tatiana R.;78.8%;;;;16.3%;;;2.9%;;;;;;;1.0%;;;;;;;;1.0%;
;;;Cyberlaw And Ethics-Honors;202420;Spring 2024;001;10397;Ringenberg, Tatiana R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;38000;Adv Analysis & Design;202420;Spring 2024;001;12441;Josekutty Thomas, Paul;10.0%;13.3%;;;23.3%;10.0%;20.0%;3.3%;6.7%;10.0%;;;;;3.3%;;;;;;;;;
;;38101;Enterprise Info Governance;202420;Spring 2024;007;27415;Laux, Dawn D.;55.3%;18.4%;;;7.9%;5.3%;2.6%;2.6%;;;;;2.6%;;;;;;;;;;5.3%;
;;;Entrprs Info Governance-Honors;202420;Spring 2024;007;27415;Laux, Dawn D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Quality Engineering In IT;202420;Spring 2024;011;18722;Josekutty Thomas, Paul;92.3%;;;;7.7%;;;;;;;;;;;;;;;;;;;
;;39200;Enterprise Data Mgmt;202420;Spring 2024;001;13250;Pradhan, Romila;3.3%;4.9%;27.9%;;13.1%;8.2%;13.1%;11.5%;1.6%;3.3%;11.5%;;1.6%;;;;;;;;;;;
;;42000;Basic Cyber Forensics;202420;Spring 2024;001;10359;Karabiyik, Umit;13.5%;14.3%;6.0%;;20.3%;8.3%;21.1%;6.0%;;6.0%;0.8%;;0.8%;;0.8%;;;;;;;;2.3%;
;;42200;Cyber Criminology;202420;Spring 2024;001;18373;Seigfried-Spellar, Kathryn C.;29.5%;;;;34.4%;;;26.2%;;;4.9%;;;;1.6%;;;;;;;;3.3%;
;;;;;;002;11459;Tyagi, Sonali;13.3%;;;;50.0%;;;23.3%;;;8.3%;;;;3.3%;;;;;;;;1.7%;
;;45600;Wireless Secur & Mgmt;202420;Spring 2024;001;34398;Smith, Anthony H.;16.7%;;;;38.9%;;16.7%;11.1%;;11.1%;;;;;;;;;;;;;5.6%;
;;47000;Incident Response Management;202420;Spring 2024;001;16952;Hands, Nicole M.;33.3%;11.1%;;;44.4%;5.6%;;5.6%;;;;;;;;;;;;;;;;
;;47100;Vuln Analysis & Testing;202420;Spring 2024;003;20155;Zuel, Brian C.;57.6%;;;;19.4%;;17.4%;2.1%;;2.1%;;;;;0.7%;;;;;;;;0.7%;
;;48000;Manag Info Tech Projct;202420;Spring 2024;001;13263;Josekutty Thomas, Paul;51.7%;;;;33.3%;;;9.2%;;;4.2%;;;;0.8%;;;;;;;;0.8%;
;;48101;Front End Web Programming;202420;Spring 2024;022;20495;Li, Tianyi;33.3%;8.3%;20.8%;;12.5%;4.2%;8.3%;;;4.2%;;;;;8.3%;;;;;;;;;
;;;Intro To Blockchain Technology;202420;Spring 2024;016;24851;Sun, Wenhai;58.1%;;;;35.5%;;;6.5%;;;;;;;;;;;;;;;;
;;48200;Six Sigma Data Quality;202420;Spring 2024;026;21652;Laux, Chad M.;36.8%;;;;36.8%;;;26.3%;;;;;;;;;;;;;;;;
;;48300;Applied Machine Learning;202420;Spring 2024;003;24807;Kocsis, Jin;73.2%;12.2%;;;4.9%;;2.4%;;;;2.4%;;2.4%;;;;;;;;;;;2.4%
;;51200;Manag Rsrc & Appl Secur;202420;Spring 2024;002;67054;Dietz, James E.;71.4%;;22.4%;;2.0%;;;;;;;;;;;;;;;;;;4.1%;
;;52500;Mobile Forensics;202420;Spring 2024;004;29317;Karabiyik, Umit;43.8%;18.8%;12.5%;;;;18.8%;;;;;;;;;6.3%;;;;;;;;
;;55600;Computer Forensics;202420;Spring 2024;001;20745;Matulis, Nina L.;53.8%;;;;46.2%;;;;;;;;;;;;;;;;;;;
;;57000;IT Data Analytics;202420;Spring 2024;001;19372;Springer, John A.;81.3%;;;;9.4%;;;3.1%;;;;;;;3.1%;;;;;;;;3.1%;
;;58100;Data Fusion For Machine Learn;202420;Spring 2024;040;18545;Vhaduri, Sudip;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Human Computer Interaction;202420;Spring 2024;038;16995;Kao, Dominic;53.3%;;46.7%;;;;;;;;;;;;;;;;;;;;;
;;;Intro To Web Development;202420;Spring 2024;045;14559;Li, Tianyi;20.0%;13.3%;40.0%;6.7%;;;;;;;;;;;;;;;;;;;20.0%;
;;;IS Practice & Implementation;202420;Spring 2024;048;26793;Dietz, James E.;75.0%;;16.7%;;;;;;;;;;;;;;;;;;;;8.3%;
;;;Responsible Data Management;202420;Spring 2024;042;25688;Pradhan, Romila;76.9%;;;;15.4%;;;7.7%;;;;;;;;;;;;;;;;
;;60100;Applied Statistics;202420;Spring 2024;001;29411;Seigfried-Spellar, Kathryn C.;85.0%;;;;15.0%;;;;;;;;;;;;;;;;;;;
;;62300;Deep Learning For Csec & Priv;202420;Spring 2024;006;12546;Kocsis, Jin;84.6%;;;15.4%;;;;;;;;;;;;;;;;;;;;
COM;COM-Communication;10200;Intro To Com Theory;202420;Spring 2024;001;16418;Sparks, Glenn G.;14.4%;11.2%;;;32.8%;7.2%;12.0%;10.4%;0.8%;4.0%;2.4%;;0.8%;;2.4%;;;;;;;;1.6%;
;;11400;Fundament Of Speech;202420;Spring 2024;101;11536;Montes, Jennifer L.;40.0%;10.0%;;;5.0%;5.0%;10.0%;20.0%;;;;;;;5.0%;;;;;;;;5.0%;
;;;;;;103;11538;Kirk, Mary K.;50.0%;8.3%;;;16.7%;4.2%;8.3%;8.3%;;;;;;;;;;;;;;;4.2%;
;;;;;;104;11530;Joya, Jessica J.;21.7%;8.7%;;;17.4%;4.3%;17.4%;4.3%;4.3%;4.3%;;;;;8.7%;;;;;;;;8.7%;
;;;;;;105;11535;Neubauer, Karen S.;70.8%;8.3%;;;12.5%;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;106;11533;Glidden, Austin T.;30.4%;4.3%;;;26.1%;4.3%;13.0%;4.3%;;13.0%;;;;;;;;;;;;;4.3%;
;;;;;;108;11537;Dufault, Sean G.;20.8%;20.8%;;;25.0%;;12.5%;;4.2%;4.2%;;;;;8.3%;;;;;;;;4.2%;
;;;;;;110;11534;Hall, Jennifer M.;13.0%;13.0%;4.3%;;30.4%;4.3%;8.7%;8.7%;;8.7%;;;;;8.7%;;;;;;;;;
;;;;;;201;11499;Ofori Boateng, Pamela;69.6%;4.3%;;;4.3%;;4.3%;;;;;;;;13.0%;;;;;;;;4.3%;
;;;;;;203;65576;Momade, Gladys M.;75.0%;20.8%;;;;;;;;;;;;;4.2%;;;;;;;;;
;;;;;;205;11497;Jones, Emily R.;60.0%;10.0%;;;25.0%;;;5.0%;;;;;;;;;;;;;;;;
;;;;;;206;11494;Momade, Gladys M.;75.0%;12.5%;;;;;8.3%;;;;;;;;;4.2%;;;;;;;;
;;;;;;209;11509;Ofori Boateng, Pamela;66.7%;8.3%;;;4.2%;;8.3%;;;;;;;;4.2%;;;;;;;;8.3%;
;;;;;;210;11500;Lasso Jimenez, Angela M.;58.3%;8.3%;4.2%;;12.5%;;;;;4.2%;8.3%;;;;4.2%;;;;;;;;;
;;;;;;211;11502;Lasso Jimenez, Angela M.;62.5%;8.3%;4.2%;;20.8%;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;301;11484;Gerald, Maggie L.;30.4%;21.7%;;;13.0%;13.0%;17.4%;;4.3%;;;;;;;;;;;;;;;
;;;;;;305;11490;Cardarelli, Joanna K.;27.3%;22.7%;;;18.2%;;;4.5%;;;4.5%;;;;4.5%;;;;;;;;18.2%;
;;;;;;307;11493;Stith, David R.;30.4%;17.4%;;;30.4%;4.3%;17.4%;;;;;;;;;;;;;;;;;
;;;;;;309;11489;Allwes, Beth A.;77.3%;;;;4.5%;9.1%;;;;4.5%;;;;;;;;;;;;;4.5%;
;;;;;;313;11485;Mobolaji, Adeola O.;79.2%;8.3%;;;;4.2%;4.2%;;;;;;;;4.2%;;;;;;;;;
;;;;;;317;11481;Mobolaji, Adeola O.;83.3%;4.2%;;;8.3%;;4.2%;;;;;;;;;;;;;;;;;
;;;;;;319;11483;Stith, David R.;31.8%;13.6%;;;27.3%;9.1%;18.2%;;;;;;;;;;;;;;;;;
;;;;;;401;11527;Mohammed, Inusah;62.5%;4.2%;;;12.5%;;4.2%;4.2%;;;;;;;4.2%;;;;;;;;8.3%;
;;;;;;402;11520;Casebeer, Elizabeth C.;37.5%;8.3%;;;29.2%;4.2%;8.3%;;;4.2%;8.3%;;;;;;;;;;;;;
;;;;;;403;11523;Woodland, Samuel A.;70.8%;4.2%;;;8.3%;;4.2%;4.2%;;;;;;;4.2%;4.2%;;;;;;;;
;;;;;;404;11529;Casebeer, Elizabeth C.;43.5%;13.0%;;;21.7%;4.3%;;;4.3%;4.3%;4.3%;;;;;;;;;;;;4.3%;
;;;;;;405;11521;Woodland, Samuel A.;79.2%;4.2%;;;8.3%;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;406;11522;Hortua Alvarado, Clara Elisa;29.2%;12.5%;;;20.8%;;8.3%;8.3%;;8.3%;4.2%;;;;;;;;;;;;8.3%;
;;;;;;407;11524;Mohammed, Inusah;69.6%;13.0%;;;;;8.7%;;;;;;;;;;;;;;;;8.7%;
;;;;;;408;11528;Hortua Alvarado, Clara Elisa;70.8%;12.5%;;;4.2%;;4.2%;;4.2%;;;;;;;;;;;;;;4.2%;
;;;;;;544;13566;Salazar, Hannah N.;25.0%;20.8%;;;16.7%;12.5%;4.2%;8.3%;;4.2%;;4.2%;;;;;;;;;;;4.2%;
;;;;;;546;13569;Watley, Kimberly J.;43.5%;;;;17.4%;;8.7%;8.7%;;;;;;;8.7%;;;;;;;;13.0%;
;;;;;;548;13571;Frazier, Allison R.;29.2%;12.5%;;;33.3%;;16.7%;;;4.2%;4.2%;;;;;;;;;;;;;
;;;;;;549;13572;Layman, Katherine J.;50.0%;25.0%;;;12.5%;;8.3%;;;;4.2%;;;;;;;;;;;;;
;;;;;;550;13573;Acosta-Roberts, Guadalupe E.;41.7%;20.8%;;;16.7%;;4.2%;16.7%;;;;;;;;;;;;;;;;
;;;;;;551;13575;Boersma, Cari A.;34.8%;21.7%;;;8.7%;;17.4%;8.7%;;;;;;;;;;;;;;;8.7%;
;;;;;;552;13576;Frazier, Allison R.;37.5%;16.7%;;;29.2%;4.2%;;4.2%;4.2%;;;;;;;;;;;;;;4.2%;
;;;;;;632;15936;Salazar, Hannah N.;8.0%;20.0%;;;12.0%;;8.0%;4.0%;12.0%;4.0%;;4.0%;4.0%;;20.0%;;;;;;;;4.0%;
;;;;;;644;12618;Johnson, Peggy A.;70.0%;20.0%;;;5.0%;;;;;;;;;;5.0%;;;;;;;;;
;;;;;;645;12619;Schenk, Jayna M.;70.0%;20.0%;;;5.0%;;5.0%;;;;;;;;;;;;;;;;;
;;;;;;646;26771;Rosales-Burdin, Gloribel;22.2%;5.6%;27.8%;;5.6%;5.6%;33.3%;;;;;;;;;;;;;;;;;
;;;;;;647;14970;Strickler, Joseph A.;52.6%;10.5%;;;15.8%;;;;;10.5%;;;;;;;;;;;;;10.5%;
;;;Fundament Of Speech-Honors;202420;Spring 2024;646;26771;Rosales-Burdin, Gloribel;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;H01;19349;Dietz, Brigitte S.;50.0%;15.0%;;;10.0%;5.0%;10.0%;10.0%;;;;;;;;;;;;;;;;
;;;;;;H02;19350;Boersma, Cari A.;88.9%;;;;5.6%;;5.6%;;;;;;;;;;;;;;;;;
;;;;;;H03;19351;Grasham, Timothy M.;72.2%;16.7%;;;5.6%;;5.6%;;;;;;;;;;;;;;;;;
;;;;;;H04;22621;Pendleton, Cassandra E.;60.0%;15.0%;;;5.0%;;15.0%;;;5.0%;;;;;;;;;;;;;;
;;;;;;H05;14975;Ramsey, Jessica N.;80.0%;10.0%;;;10.0%;;;;;;;;;;;;;;;;;;;
;;20400;Crit Perspectives Com;202420;Spring 2024;001;16530;Boyd, Joshua E.;8.1%;;2.4%;;22.0%;5.7%;3.3%;26.0%;8.1%;4.1%;1.6%;1.6%;1.6%;;3.3%;;;0.8%;;;;;11.4%;
;;21200;Appr Stdy Interp Commn;202420;Spring 2024;004;16545;Buehler, Emily M.;35.0%;15.0%;;;25.0%;10.0%;10.0%;;;5.0%;;;;;;;;;;;;;;
;;;;;;005;16541;Greene, John O.;5.0%;10.0%;5.0%;;25.0%;5.0%;5.0%;10.0%;5.0%;15.0%;;;;;5.0%;;;;;;;;10.0%;
;;;;;;007;14175;Bowling, Roy N.;10.5%;15.8%;;;5.3%;15.8%;42.1%;5.3%;;;;;;;;;;;;;;;5.3%;
;;;;;;008;15996;Bowling, Roy N.;10.0%;10.0%;;;35.0%;10.0%;10.0%;15.0%;10.0%;;;;;;;;;;;;;;;
;;;;;;027;25683;Deyoe, Diana L.;20.0%;35.0%;20.0%;;5.0%;;10.0%;;;5.0%;5.0%;;;;;;;;;;;;;
;;;;;;028;22054;Webb, Ralph;55.0%;15.0%;;;5.0%;15.0%;;;;;;;;;5.0%;;;;;;;;5.0%;
;;21700;Sci Writing & Presentn-Honors;202420;Spring 2024;H25;25684;Smith, Margaret J.;;;90.0%;;;;10.0%;;;;;;;;;;;;;;;;;
;;;;;;H28;20415;Wright, Jon D.;94.7%;5.3%;;;;;;;;;;;;;;;;;;;;;;
;;;Science Writing & Presentation;202420;Spring 2024;001;52804;Reif, Jennifer;35.0%;20.0%;5.0%;;10.0%;10.0%;10.0%;;;5.0%;;;;;;;;;;;;;5.0%;
;;;;;;002;52808;Wright, Jon D.;65.0%;10.0%;;;5.0%;5.0%;10.0%;;;;;;;;5.0%;;;;;;;;;
;;;;;;003;52806;Boersma, Cari A.;65.0%;10.0%;;;;;10.0%;5.0%;;;;;;;;;;;;;;;10.0%;
;;;;;;004;52805;Brejcha, Jacob J.;50.0%;10.0%;;;15.0%;;15.0%;5.0%;;;;;;;;;;;;;;;5.0%;
;;;;;;005;43715;Creech, Brett A.;78.9%;;;;10.5%;;;5.3%;;;;;;;;;;;;;;;5.3%;
;;;;;;007;45136;Flowers, Steven C.;45.0%;35.0%;10.0%;;5.0%;;5.0%;;;;;;;;;;;;;;;;;
;;;;;;008;45137;Green, Kara E.;15.8%;21.1%;;;21.1%;;15.8%;5.3%;;5.3%;;;;;10.5%;;;;;;;;5.3%;
;;;;;;009;45135;Crain, Steven D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;011;10662;Vaught, Megan F.;76.2%;14.3%;;;4.8%;4.8%;;;;;;;;;;;;;;;;;;
;;;;;;012;45140;Freeman, Julius D.;57.9%;31.6%;;;5.3%;;;;;5.3%;;;;;;;;;;;;;;
;;;;;;014;45139;Bowling, Roy N.;55.0%;30.0%;;;5.0%;;5.0%;;;;;;;;5.0%;;;;;;;;;
;;;;;;015;10664;Flowers, Steven C.;70.0%;5.0%;15.0%;;;;5.0%;;5.0%;;;;;;;;;;;;;;;
;;;;;;017;17221;Seals, John M.;85.0%;5.0%;;;10.0%;;;;;;;;;;;;;;;;;;;
;;;;;;018;17243;Mikesell, Kirsten A.;47.1%;11.8%;;;5.9%;11.8%;5.9%;;;;;;;;;;;;;;;;17.6%;
;;;;;;019;17244;Wright, Jon D.;66.7%;5.6%;;;;;;;5.6%;11.1%;;;;;;5.6%;;;;;;;5.6%;
;;;;;;021;17252;Latoz, Traci L.;60.0%;20.0%;;;5.0%;;10.0%;;;;;;;;;;;;;;;;5.0%;
;;;;;;022;12635;Latoz, Traci L.;90.0%;10.0%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;023;12636;Boersma, Cari A.;60.0%;20.0%;;;10.0%;;10.0%;;;;;;;;;;;;;;;;;
;;;;;;024;12637;Boersma, Cari A.;83.3%;16.7%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;026;25685;Crain, Steven D.;80.0%;20.0%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;027;25686;Gilbert, Molly E.;52.6%;21.1%;5.3%;;5.3%;;10.5%;;;;;5.3%;;;;;;;;;;;;
;;;;;;028;26476;O'Shea, Kevin J.;85.0%;5.0%;;;;;5.0%;;;;;;;;;;;;;;;;5.0%;
;;;;;;029;15043;Crain, Steven D.;50.0%;15.0%;;;20.0%;;15.0%;;;;;;;;;;;;;;;;;
;;;;;;030;15051;Oborne, Zachary S.;63.2%;5.3%;;;10.5%;;10.5%;;;;;;;;5.3%;;;;;;;;5.3%;
;;;;;;031;15052;Crain, Steven D.;95.0%;5.0%;;;;;;;;;;;;;;;;;;;;;;
;;;Science Writing& Present-Honor;202420;Spring 2024;024;12637;Boersma, Cari A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Science Writing&Present-Honors;202420;Spring 2024;009;45135;Crain, Steven D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;019;17244;Wright, Jon D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;22400;Com Global Workplace;202420;Spring 2024;001;34230;Sypher, Howard E.;73.9%;;;;13.0%;;;;;;;;;;4.3%;;;4.3%;;;;;4.3%;
;;;;;;002;12639;Lee, Seungyoon;16.7%;12.5%;20.8%;;16.7%;4.2%;8.3%;4.2%;;8.3%;;4.2%;;;;;;;;;;;4.2%;
;;;;;;016;16297;Lee, Seungyoon;16.7%;8.3%;37.5%;;4.2%;8.3%;8.3%;8.3%;;;4.2%;;;;4.2%;;;;;;;;;
;;25000;Mass Commun & Society;202420;Spring 2024;001;12641;Sherrick, Brett I.;18.8%;31.3%;9.4%;;6.3%;9.4%;6.3%;3.1%;3.1%;6.3%;;;3.1%;;;;;;;;;;3.1%;
;;25100;Comm, Info, And Society;202420;Spring 2024;002;15577;Jackson, Diane L.;25.0%;12.5%;;;8.3%;12.5%;29.2%;4.2%;;;;;8.3%;;;;;;;;;;;
;;25200;Writing For Mass Media;202420;Spring 2024;001;53520;Natt, Jane G.;28.6%;;;;28.6%;9.5%;14.3%;9.5%;;;;;4.8%;;;;;;;;;;4.8%;
;;;;;;005;65197;Mattingly, Andrea L.;66.7%;;;;4.8%;;4.8%;9.5%;4.8%;;4.8%;4.8%;;;;;;;;;;;;
;;25300;Intro To Public Rels;202420;Spring 2024;001;12657;Zulli, Diana G.;22.8%;25.3%;;;24.1%;8.9%;12.7%;2.5%;;1.3%;;;;;1.3%;;;1.3%;;;;;;
;;25600;Intro To Advertising;202420;Spring 2024;001;12659;Ju, Ilwoo;14.2%;31.0%;6.1%;;9.6%;8.6%;17.3%;1.5%;1.0%;5.1%;1.0%;1.0%;0.5%;;1.0%;;;1.0%;;;;;1.0%;
;;;Intro To Advertising-Honors;202420;Spring 2024;001;12659;Ju, Ilwoo;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;25700;PR Techniques;202420;Spring 2024;005;26540;Treat, Megan A.;16.7%;22.2%;33.3%;;5.6%;;5.6%;5.6%;;;;;;;5.6%;5.6%;;;;;;;;
;;;;;;006;23016;Treat, Megan A.;22.2%;27.8%;22.2%;;;5.6%;5.6%;;;11.1%;;;;;;;;;;;;;5.6%;
;;26100;Intr Digitl Video Prod;202420;Spring 2024;001;16564;Evans, Elizabeth A.;8.3%;33.3%;33.3%;;16.7%;;8.3%;;;;;;;;;;;;;;;;;
